0:0:0:0:0:0:0:1 - - [13/Nov/2019:09:54:39 -0800] "GET /ProjectJSPPages/Registration.jsp HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [13/Nov/2019:09:54:41 -0800] "GET /ProjectJSPPages/Registration.css HTTP/1.1" 304 -
127.0.0.1 - - [13/Nov/2019:20:42:23 -0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:42:24 -0800] "GET /ProjectJSPPages/Login.html HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:42:24 -0800] "GET /ProjectJSPPages/Login.css HTTP/1.1" 200 1006
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:42:24 -0800] "GET /ProjectJSPPages/img_avatar2.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:42:24 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:42:33 -0800] "GET /ProjectJSPPages/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:42:34 -0800] "GET /ProjectJSPPages/Login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:42:34 -0800] "GET /ProjectJSPPages/img_avatar2.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:42:35 -0800] "GET /ProjectJSPPages/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:42:35 -0800] "GET /ProjectJSPPages/img_avatar2.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:42:35 -0800] "GET /ProjectJSPPages/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:42:35 -0800] "GET /ProjectJSPPages/img_avatar2.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:42:36 -0800] "GET /ProjectJSPPages/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:42:36 -0800] "GET /ProjectJSPPages/img_avatar2.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:42:36 -0800] "GET /ProjectJSPPages/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:42:36 -0800] "GET /ProjectJSPPages/img_avatar2.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:42:45 -0800] "POST /action_page.php HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:44:20 -0800] "GET /ProjectJSPPages/Login.html HTTP/1.1" 200 1654
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:44:20 -0800] "GET /ProjectJSPPages/img_avatar2.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:45:47 -0800] "GET /ProjectJSPPages/Login.css HTTP/1.1" 200 1006
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:45:48 -0800] "GET /ProjectJSPPages/Login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:46:42 -0800] "GET /ProjectJSPPages/Login.html HTTP/1.1" 200 1006
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:46:42 -0800] "GET /ProjectJSPPages/img_avatar2.png HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:46:42 -0800] "GET /ProjectJSPPages/Login.css HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:46:45 -0800] "GET /ProjectJSPPages/Login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:46:45 -0800] "GET /ProjectJSPPages/Login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:20:46:45 -0800] "GET /ProjectJSPPages/img_avatar2.png HTTP/1.1" 404 1109
