127.0.0.1 - - [15/Nov/2019:16:33:37 -0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Nov/2019:16:33:38 -0800] "GET /ProjectJSPPages/Registration.jsp HTTP/1.1" 200 1579
0:0:0:0:0:0:0:1 - - [15/Nov/2019:16:33:38 -0800] "GET /ProjectJSPPages/Registration.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2019:16:33:39 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [15/Nov/2019:16:34:25 -0800] "GET /ProjectJSPPages/Registration.jsp HTTP/1.1" 200 1569
0:0:0:0:0:0:0:1 - - [15/Nov/2019:16:34:44 -0800] "GET /ProjectJSPPages/Registration.jsp HTTP/1.1" 200 1564
0:0:0:0:0:0:0:1 - - [15/Nov/2019:16:35:10 -0800] "GET /ProjectJSPPages/Registration.jsp HTTP/1.1" 200 1568
0:0:0:0:0:0:0:1 - - [15/Nov/2019:16:35:24 -0800] "GET /ProjectJSPPages/Registration.jsp HTTP/1.1" 200 1573
0:0:0:0:0:0:0:1 - - [15/Nov/2019:16:58:12 -0800] "GET /ProjectJSPPages/Registration.jsp HTTP/1.1" 200 1783
0:0:0:0:0:0:0:1 - - [15/Nov/2019:16:58:56 -0800] "GET /ProjectJSPPages/Registration.jsp HTTP/1.1" 200 1700
0:0:0:0:0:0:0:1 - - [15/Nov/2019:16:59:10 -0800] "GET /ProjectJSPPages/Registration.jsp HTTP/1.1" 200 1704
0:0:0:0:0:0:0:1 - - [15/Nov/2019:17:05:38 -0800] "GET /ProjectJSPPages/Registration.jsp HTTP/1.1" 200 2068
0:0:0:0:0:0:0:1 - - [15/Nov/2019:17:08:04 -0800] "GET /ProjectJSPPages/Registration.jsp HTTP/1.1" 200 2066
0:0:0:0:0:0:0:1 - - [15/Nov/2019:17:10:04 -0800] "GET /ProjectJSPPages/Registration.jsp HTTP/1.1" 200 2007
